product,quality,season,state,quantity,market_distance,organic_certified,price_per_quintal
onion,low,zaid,up,78.18940903,119.3700316,0,1154.04
chana,low,zaid,rajasthan,6.584746324,144.3997545,1,3664.25
soybean,low,kharif,rajasthan,1.699564217,4.612485008,0,3707.23
cotton,high,rabi,up,86.13410027,136.0615077,0,4904.13
tur,medium,kharif,punjab,31.15676315,19.5344228,0,8711.79
onion,low,zaid,up,91.02271981,51.75599632,0,1299.84
tomato,medium,kharif,mp,19.3005911,193.9169256,0,1629.84
sugarcane,medium,zaid,karnataka,9.760757703,39.19657248,0,261.8
rice,high,rabi,punjab,96.56027542,121.4068495,0,2964.83
wheat,low,zaid,maharashtra,77.45223216,39.74313631,0,1639.98
wheat,high,zaid,maharashtra,60.9900375,185.2601757,0,1917.8
tur,medium,rabi,karnataka,31.78724985,65.03666441,0,6143.97
cotton,low,zaid,haryana,97.19949744,169.7827649,0,4084.54
onion,high,rabi,karnataka,43.32656082,5.083825349,0,2180.42
onion,low,rabi,mp,90.84908092,49.85844583,0,1730.94
sugarcane,low,zaid,up,69.78370837,176.0935678,0,187.74
soybean,medium,kharif,rajasthan,54.39488195,161.488031,1,4696.49
wheat,low,rabi,up,43.28367107,163.6029532,1,1885.93
chana,high,rabi,rajasthan,22.98867324,23.97307347,0,6546.81
tomato,low,rabi,rajasthan,97.20642619,192.489459,0,1596.75
wheat,low,rabi,maharashtra,27.41132041,195.3229912,0,1432.43
wheat,low,zaid,rajasthan,15.34459234,97.89055206,1,1643.87
sugarcane,high,zaid,up,24.97383389,160.6279513,0,295.88
tomato,high,zaid,maharashtra,15.92103685,101.6397553,0,2557.54
sugarcane,high,kharif,up,81.14060357,69.73319746,0,346.57
chana,high,kharif,maharashtra,67.89332159,147.0432238,0,4525.81
jowar,high,zaid,mp,18.32053778,196.4336687,0,2351.65
wheat,medium,rabi,haryana,88.38099798,37.74142167,0,2589.32
cotton,medium,rabi,mp,9.329856535,32.32574282,1,6882.17
cotton,medium,rabi,up,97.39271984,56.78419495,0,5143.04
cotton,low,rabi,mp,71.50574291,47.4498175,0,4551.05
chana,high,zaid,maharashtra,31.49801839,108.5080461,0,4928.83
tomato,medium,kharif,rajasthan,97.91039297,97.34843059,1,2062.63
soybean,medium,rabi,mp,67.22348191,172.833513,0,3286.96
sugarcane,high,rabi,maharashtra,99.46050057,93.9889028,0,365.15
tur,low,rabi,maharashtra,55.72373172,114.4584938,1,5784.39
soybean,high,rabi,up,17.77978192,111.3602525,1,5601.38
chana,medium,kharif,karnataka,99.01533116,28.01680305,0,4735.66
wheat,low,rabi,up,71.18218869,110.5639954,0,1684.02
rice,low,rabi,mp,51.62289749,100.3032589,0,2011.42
cotton,high,zaid,mp,58.30762466,87.6948246,0,5306.33
jowar,high,kharif,haryana,84.0544167,172.0809237,0,3252.5
tomato,high,rabi,maharashtra,82.95903137,54.30858316,1,3546.36
tomato,low,kharif,karnataka,70.25170887,27.67061848,0,1732.82
jowar,medium,zaid,maharashtra,40.48326924,86.70414752,0,2415.92
jowar,low,kharif,karnataka,43.40313302,137.6999802,0,2640.57
rice,medium,kharif,maharashtra,66.3595403,55.98677939,1,4139.66
soybean,medium,rabi,karnataka,5.723896641,113.2074421,0,3358.5
soybean,high,rabi,rajasthan,85.69059782,140.7315719,0,3460.97
soybean,high,rabi,rajasthan,43.95131327,79.70094688,0,4139.93
rice,high,kharif,punjab,93.4101945,100.2079768,0,3972.7
chana,high,kharif,maharashtra,86.85269442,127.2807195,0,4755.33
cotton,low,rabi,haryana,55.01606214,188.2929618,0,4709.64
jowar,high,rabi,haryana,22.24432285,75.45181665,0,4212.8
